Edición,Fecha,Localización,Artista(s),Productor,Patrocinador,Tema / Repertorio,Ref.
XXIV,28 de enero de 1990,"Louisiana Superdome(Nueva Orleans,Luisiana)","Pete FountainDoug KershawIrma ThomasBandas de marcha de la Universidad Estatal Nicholls, la Universidad del Sur y la Universidad de Luisiana",Select Productions,No disponible,Salute to New Orleans and Snoopy's 40th Birthday/Repertorio«(Up A) Lazy River»«Waiting For The Robert E. Lee»«Here Comes the Showboat»«When the Saints Go Marching In» (enclarinete)«Happy Birthday to You»,[5]​
XXV,27 de enero de 1991,"Tampa Stadium(Tampa,Florida)",New Kids on the BlockPersonajes deDisneyWarren Moon2000 niños localesParticipación de la audiencia,The Walt Disney Company,Walt Disney WorldyCoca-Cola,A Small World Salute to 25 Years of Super Bowl/Repertorio«Step by Step» (New Kids on the Block)«This One's For The Children» (New Kids on the Block)«It's a Small World (After All)» (Niños),[5]​
XXVI,26 de enero de 1992,"Hubert H. Humphrey Metrodome(Minneapolis,Minnesota)",Gloria Estefancon lospatinadores artísticosolímpicosBrian Boitanoy Dorothy Hamill.,Timberline Productions,No disponible,Winter Magic/Repertorio«Walking in a Winter Wonderland»«Dance of the Sugar Plum Fairy»«One Moment in Time»«Live for Loving You» (G. Estefan)«Get on Your Feet» (G. Estefan),[5]​
XXVII(AP),31 de enero de 1993,"Rose Bowl(Pasadena,California)",Michael Jackson3500 niños locales,Radio City Music Hally Don Mischer Productions,Heal The World/Repertorio«Jam»«Billie Jean»«Black or White»«We Are the World» (Niños)«Heal the World»,[5]​[6]​
XXVIII,30 de enero de 1994,"Georgia Dome(Atlanta,Georgia)",Clint BlackTanya TuckerTravis TrittWynonna JuddThe Judds,Select Productions,Rockin' Country Sunday/Repertorio«Tuckered Out» (C. Black)«It's a Little Too Late» (T. Tucker)«T-R-O-U-B-L-E» (T. Tritt)«No One Else on Earth» (W. Judd)«Love Can Build a Bridge» (The Judds),[5]​
XXIX,29 de enero de 1995,"Joe Robbie Stadium(Miami Gardens, Florida)",Patti LaBelleIndiana JonesyMarion RavenwoodTeddy PendergrassTony BennettArturo SandovalMiami Sound Machine,The Walt Disney Company,Indiana Jones and the Temple of Forbidden Eye/Repertorio«Release Yourself»«Caravan»«New Attitude»«Can You Feel The Love Tonight?»,[5]​
XXX,28 de enero de 1996,"Sun Devil Stadium(Tempe,Arizona)",Diana Ross,Radio City Music Hall,Oscar Mayer,Take Me Higher: A Celebration of 30 Years of the Super Bowl/RepertorioUnpopurríde los siguientes temas:«Stop! In the Name of Love»«You Keep Me Hangin' On»«Baby Love»«You Can't Hurry Love»«Why Do Fools Fall in Love?»«Chain Reaction»«Reach Out and Touch (Somebody's Hand)»«Ain't No Mountain High Enough»«I Will Survive»«Take Me Higher»,[5]​[6]​
XXXI,26 de enero de 1997,"Louisiana Superdome(Nueva Orleans, Luisiana)",The Blues BrothersZZ TopJames Brown,"Select Productions, Radio City Music Hall yHouse of Blues",Blues Brothers Bash/Repertorio«Everybody Needs Somebody to Love» (The Blues Brothers)«Soul Man» (The Blues Brothers)«I Got You (I Feel Good)» (J. Brown)«Get Up (I Feel Like Being a) Sex Machine» (J. Brown)«Tush» (ZZ Top)«Legs» (ZZ Top)«Gimme Some Lovin'» (Todos los artistas juntos),[5]​
XXXII,25 de enero de 1998,"Estadio Qualcomm(San Diego, California)",Boyz II MenSmokey RobinsonMartha ReevesThe TemptationsQueen LatifahBanda de marcha de la Universidad Estatal de Grambling,Radio City Music Hall,Royal Caribbean Internationaly Celebrity Cruises,Salute to Motown's 40th Anniversary/Repertorio«Get Ready» (The Temptations)«I Can't Help Myself» (The Temptations)«The Tracks of My Tears» (S. Robinson)«My Girl» (The Temptations con S. Robinson)«Heat Wave» (Martha and the Vandellas)«Paper» (Q. Latifah)«Motownphilly» (Boyz II Men)«A Song for Mama» (Boyz II Men)«Dancing in the Street» (Todos los artistas junto a la banda de marcha de la UEG),[5]​[6]​[7]​[12]​
XXXIII,31 de enero de 1999,"Pro Player Stadium(Miami Gardens, Florida)",Gloria EstefanStevie WonderBig Bad Voodoo DaddySavion Glover,Radio City Music Hall,Progressive Auto Insurance,"Celebration of Soul, Salsa and Swing/Repertorio«Go Daddy O» (Big Bad Voodoo Daddy)«Sir Duke» (S. Wonder)«You Are the Sunshine of My Life» (S. Wonder)«I Wish» (Stevie Wonder)«Rhythm Is Gonna Get You» (G. Estefan)«Oye!» (Gloria Estefan)«Turn the Beat Around» (G. Estefan)«You'll Be Mine (Party Time)» / «Another Star» / «My Cherie Amour» (G. Estefan y S. Wonder)",[5]​
