Edición,Fecha,Localización,Artista(s),Productor,Patrocinador,Tema / Repertorio,Ref.
XIV,20 de enero de 1980,"Rose Bowl(Pasadena,California)",Up With PeopleBanda de marcha de la Universidad Estatal de Grambling,No disponible,No disponible,A Salute to theBig BandEra,[5]​[10]​
XV,25 de enero de 1981,"Louisiana Superdome(Nueva Orleans,Luisiana)",Banda de marcha de la Universidad del SurHelen O'Connell,Jim Skinner,No disponible,Mardi GrasFestival,[5]​
XVI,24 de enero de 1982,"Pontiac Silverdome(Pontiac,Míchigan)",Up with People,No disponible,No disponible,Salute to the 1960s andMotown,[5]​[10]​
XVII,30 de enero de 1983,"Rose Bowl(Pasadena, California)",Los Angeles Super Drill Team,Bob Jani,No disponible,KaleidoSUPERscope,[5]​
XVIII,22 de enero de 1984,"Tampa Stadium(Tampa,Florida)",Universidad de la FloridaBanda de marcha de laUniversidad Estatal de Florida,The Walt Disney Company,No disponible,Salute to Superstars of Silver Screen/RepertorioIntroducción por Phyllis George«Hooray for Hollywood»«You Oughta Be in Pictures»«Steppin' Out with My Baby»«Puttin' on the Ritz»«42nd Street»«When You Wish Upon a Star»,[5]​
XIX,20 de enero de 1985,"Stanford Stadium(Stanford, California)",Tops In Blue,Air Force Entertainment,No disponible,World of Children's Dreams,[5]​
XX,26 de enero de 1986,"Louisiana Superdome(Nueva Orleans, Luisiana)",Up with People,No disponible,No disponible,Beat of the Future,[5]​[10]​
XXI,25 de enero de 1987,"Rose Bowl(Pasadena, California)",George BurnsMickey RooneyBandas de marcha de la Universidad Estatal de Grambling y de laUniversidad del Sur de CaliforniaPersonajes deDisneyEquipos de gimnasia y bailarines de las escuelas secundarias delsur de California,The Walt Disney Company,No disponible,"Salute to Hollywood's 100th Anniversary/Repertorio«Ghost Riders in the Sky»Canciones temáticas deBonanza,Indiana JonesyFootlooseCanción dehoedown«Cheek to Cheek»«What a Feeling» (Tema deFlashdance)«That's Entertainment»«Somewhere over the Rainbow»«When You Wish upon a Star»",[5]​
XXII,31 de enero de 1988,"Jack Murphy Stadium(San Diego, California)",Chubby CheckerLas Rockettes72pianosBandas de marcha de laUniversidad Estatal de San Diegoy la Universidad del Sur de California,Radio City Music Hall,No disponible,Something Grand,[5]​[6]​
XXIII,22 de enero de 1989,"Joe Robbie Stadium(Miami Gardens, Florida)",Elvis PrestoBailarines y artistas del sur de Florida,MagicCom Entertainment y Dan Witkowski,Diet Coke,Be Bop Bamboozled/RepertorioIntroducción porBob Costasy comercial3DdeDiet Coke«Rock This Town»Cartomagiade la audiencia«Tutti Frutti»«Do You Love Me»«Devil with a Blue Dress On»«Great Balls of Fire»«Greased Lightnin'»«True Love»,[5]​[11]​
